Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
painting_cell,"-0,09426","0,68069","0,074345",0,0,0,"975,23","78,759","-0,0036806","0,50295","150,76","0,0008935","93,846",0,0,0,0,0,0,package://urdf_painting_cell/meshes/painting_cell.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/painting_cell.STL,,painting_cell-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
turn_table,"-1,3988E-06","0,0055716","-9,2944E-07",0,0,0,"112,96","11,799","1,7838E-10","1,9748E-05","23,592","1,1853E-10","11,799",0,0,0,0,0,0,package://urdf_painting_cell/meshes/turn_table.STL,1,1,"0,75294",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/turn_table.STL,,turnTable-1,Origin_joint_turn_table,Axis_joint_turn_table,joint_turn_table,revolute,0,"-0,01","0,97538","1,5708",0,0,painting_cell,0,1,0,0,0,0,0,,,,,,,,
base_link_flo,"-6,5543E-07","0,062226","-1,3115E-06",0,0,0,"1,859","0,011059","-1,0763E-07","1,1973E-07","0,01313","-1,8446E-07","0,011058",0,0,0,0,0,0,package://urdf_painting_cell/meshes/base_link_flo.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/base_link_flo.STL,,robot_flo-1/base_link_flo-1,Origin_joint_0_flo,,joint_0_flo,fixed,"-0,7","0,49","0,85038","1,5708",0,"0,7854",painting_cell,0,0,0,,,,,,,,,,,,
link_1_flo,"3,7055E-09","0,03496","0,0051463",0,0,0,"0,32309","0,00049732","1,5652E-10","8,0455E-12","0,00036028","-8,6273E-06","0,00046097",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_1_flo.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_1_flo.STL,,robot_flo-1/link_1_flo-1,Origin_joint_1_flo,Axis_joint_1_flo <robot_flo-1>,joint_1_flo,revolute,0,"0,235",0,"3,1416","1,5708",0,base_link_flo,0,0,0,0,0,0,0,,,,,,,,
link_2_flo,"-6,4734E-08","0,037682","0,14998",0,0,0,"1,576","0,017927","-2,2865E-09","-1,0679E-09","0,017703","1,5043E-06","0,0014816",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_2_flo.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_2_flo.STL,,robot_flo-1/link_2_flo-1,Origin_joint_2_flo,Axis_joint_2_flo <robot_flo-1>,joint_2_flo,revolute,0,"0,040251","0,1445","-1,5708",0,"3,1416",link_1_flo,0,0,0,0,0,0,0,,,,,,,,
link_3_flo,"7,1233E-09","0,036105","0,014691",0,0,0,"0,41135","0,00069097","7,5312E-12","-2,503E-11","0,00055184","-2,4759E-05","0,00052635",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_3_flo.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_3_flo.STL,,robot_flo-1/link_3_flo-1,Origin_joint_3_flo,Axis_joint_3_flo <robot_flo-1>,joint_3_flo,revolute,0,"0,18475","0,3",0,"-1,5708",0,link_2_flo,0,0,0,0,0,0,0,,,,,,,,
link_4_flo,"0,14142","0,71563","-1,3159",0,0,0,"0,54355","0,0011348","6,4168E-11","5,372E-11","0,00099434","-4,9821E-05","0,00062037",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_4_flo.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_4_flo.STL,,robot_flo-1/link_4_flo-1,Origin_joint_4_flo,Axis_joint_4_flo <robot_flo-1>,joint_4_flo,revolute,"-1,3451","-0,10117","0,84853","-1,5708",0,"1,5708",link_3_flo,0,0,0,0,0,0,0,,,,,,,,
link_5_flo,"1,6757E-09","0,035042","0,01555",0,0,0,"0,38783","0,00063618","1,6588E-10","6,545E-11","0,00052928","-3,1119E-05","0,00047736",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_5_flo.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_5_flo.STL,,robot_flo-1/link_5_flo-1,Origin_joint_5_flo,Axis_joint_5_flo <robot_flo-1>,joint_5_flo,revolute,"0,14142","0,71878","-1,1504","-1,5708",0,"3,1416",link_4_flo,0,0,0,0,0,0,0,,,,,,,,
link_6_flo,"1,6772E-05","-0,0099578","0,028173",0,0,0,"0,26411","0,00038853","-3,0821E-07","5,6453E-08","0,00039017","-1,4397E-07","0,0007123",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_6_flo.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_6_flo.STL,,robot_flo-1/link_6_flo-1,Origin_joint_6_flo,Axis_joint_6_flo <robot_flo-1>,joint_6_flo,revolute,0,"0,050251","0,075",0,0,0,link_5_flo,0,0,0,0,0,0,0,,,,,,,,
link_base_simon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_base_simon.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_base_simon.STL,,robot_simon-1/base_link_simon-1,Origin_joint_0_simon,,joint_0_simon,fixed,"0,7","0,49","0,85038","1,5708",0,"-0,7854",painting_cell,0,0,0,0,0,0,0,,,,,,,,
link_1_simon,"0,1677","0,79186","0,077265",0,0,0,"126,88","18,835","-1,7125","-0,25824","17,019","1,096","33,731",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_1_simon.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_1_simon.STL,,robot_simon-1/link_1_simon-1,Origin_joint_1_simon,,joint_1_simon,revolute,0,"0,073","0,01","1,5708",0,"3,1416",link_base_simon,0,0,0,0,0,0,0,,,,,,,,
link_2_simon,"-0,072735","-0,81186","0,1197",0,0,0,"126,88","33,731","-1,096","-0,25824","17,019","1,7125","18,835",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_2_simon.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_2_simon.STL,,robot_simon-1/link_2_simon-1,Origin_joint_2_simon,,joint_2_simon,revolute,"0,048","-0,02","0,15",0,"-1,5708",0,link_1_simon,0,0,0,0,0,0,0,,,,,,,,
link_3_simon,"-0,049705","-0,81186","-0,12074",0,0,0,"126,88","18,835","-1,7125","0,25824","17,019","-1,096","33,731",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_3_simon.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_3_simon.STL,,robot_simon-1/link_3_simon-1,Origin_joint_3_simon,,joint_3_simon,revolute,"0,048",0,"0,07",0,"1,5708",0,link_2_simon,0,0,0,0,0,0,0,,,,,,,,
link_4_simon,"0,80186","0,41074","-0,095705",0,0,0,"126,88","17,019","-1,096","1,7125","33,731","-0,25824","18,835",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_4_simon.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_4_simon.STL,,robot_simon-1/link_4_simon-1,Origin_joint_4_simon,,joint_4_simon,revolute,"0,046","-0,01","0,29","-1,5708",0,"-1,5708",link_3_simon,0,0,0,0,0,0,0,,,,,,,,
link_5_simon,"-0,1757","-0,43074","0,75586",0,0,0,"126,88","18,835","0,25824","1,7125","33,731","1,096","17,019",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_5_simon.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_5_simon.STL,,robot_simon-1/link_5_simon-1,Origin_joint_5_simon,,joint_5_simon,revolute,"0,046","-0,02","0,08",0,"-1,5708",0,link_4_simon,0,0,0,0,0,0,0,,,,,,,,
link_6_simon,"0,55586","0,41074","-0,2217",0,0,0,"126,88","17,019","-1,096","1,7125","33,731","-0,25824","18,835",0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_6_simon.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf_painting_cell/meshes/link_6_simon.STL,,robot_simon-1/link_6_simon-1,Origin_joint_6_simon,,joint_6_simon,revolute,"0,046","-0,02","0,2",0,"-1,5708",0,link_5_simon,0,0,0,0,0,0,0,,,,,,,,
